신고/허가번호,업소명,업종,업태,소재지(지번),소재지(도로명),전화번호,신고/허가일,영업장면적-조리장(㎡),영업장면적-객실(㎡),영업장면적-객석(㎡),영업장면적-갱의실(㎡),영업장면적-무도장(㎡),영업장면적-기타(㎡),화장실(업소내)(㎡),면적_작업장(㎡),면적_검사실(㎡),영업장면적_취식장(㎡),사무실면적(㎡),영업장진열판매면적(㎡),영업장창고보관면적(㎡)
19800126018,금복통닭,일반음식점,통닭(치킨),부산광역시 중구 부평동2가 18번지 1호,"부산광역시 중구 부평2길 39, (부평동2가)",051-246-5932,1980-09-05,,,,,,9,,0,0,0,0,0,0
19820126080,마니커숯불바베큐,일반음식점,통닭(치킨),부산광역시 중구 부평동1가 46번지 1호,"부산광역시 중구 비프광장로 21-1, (부평동1가)",,1982-10-07,,,,,,18,,0,0,0,0,0,0
19920126066,1GA-24-12,일반음식점,통닭(치킨),부산광역시 중구 중앙동1가 24번지 12호,"부산광역시 중구 중앙대로41번길 9-1, (중앙동1가)",,1992-06-03,,,,,,28,,0,0,0,0,0,0
19930126093,닭썸,일반음식점,통닭(치킨),부산광역시 중구 부평동2가 21번지 2호 (1층),"부산광역시 중구 중구로29번길 36, 1층 (부평동2가)",,1993-08-21,,,,,,16.05,,0,0,0,0,0,0
20000126127,아웃닭,일반음식점,통닭(치킨),부산광역시 중구 부평동2가 27번지 1호 (1층),"부산광역시 중구 부평1길 8, 1층 (부평동2가)",,2000-03-29,6.3,,17.1,,,,1.2,0,0,0,0,0,0
20010126307,고집파닭,일반음식점,통닭(치킨),부산광역시 중구 남포동3가 3번지 5호,"부산광역시 중구 비프광장로 33-2, (남포동3가)",051-262-2448,2001-06-27,,,,,,99.75,,0,0,0,0,0,0
20010126490,허대구 대구통닭 부평점,일반음식점,통닭(치킨),부산광역시 중구 부평동1가 40번지 3호 (1층),"부산광역시 중구 광복로 14, 1층 (부평동1가)",,2001-11-13,,,,,,150,,0,0,0,0,0,0
20020126428,칠칠켄터키 치킨,일반음식점,통닭(치킨),"부산광역시 중구 부평동2가 36번지 3호 36-4, 1층","부산광역시 중구 광복로12번길 10, 1층 (부평동2가)",,2002-12-03,,,,,,15.5,,0,0,0,0,0,0
20030126045,오복통닭,일반음식점,통닭(치킨),부산광역시 중구 부평동2가 76번지 1호 (1층),"부산광역시 중구 부평1길 59, 1층 (부평동2가)",051-244-4090,2003-02-05,,,,,,26.84,,0,0,0,0,0,0
20040126191,맥시칸 치킨,일반음식점,통닭(치킨),부산광역시 중구 남포동5가 70번지 . 1층일부,"부산광역시 중구 자갈치로59번길 5-21, 1층 (남포동5가, 일부)",051-254-3181,2004-06-10,9.1,,18.56,,,4.5,2.5,0,0,0,0,0,0
20050126217,닭다리먹고 맴맴,일반음식점,통닭(치킨),부산광역시 중구 부평동1가 41번지 21호 외 1필지 (1층),"부산광역시 중구 광복로12번길 5, 1층 (부평동1가, 외 1필지)",,2005-09-16,2.34,,10.46,,,,,0,0,0,0,0,0
20050126260,무한리필999,일반음식점,통닭(치킨),부산광역시 중구 부평동2가 55번지 2호,"부산광역시 중구 광복로 5, (부평동2가)",,2005-11-02,14.92,,98.49,,,,4,0,0,0,0,0,0
20060126021,B H C,일반음식점,통닭(치킨),부산광역시 중구 보수동3가 66번지 7호 (1층),"부산광역시 중구 흑교로59번길 15-1, 1층 (보수동3가)",051-417-0392,2006-02-06,13.65,,12.6,,,,3.85,0,0,0,0,0,0
20060126155,미스터치킨맨,일반음식점,통닭(치킨),부산광역시 중구 보수동1가 41번지 75호 (지하층),"부산광역시 중구 망양로 277, 지하층 (보수동1가)",051-242-2936,2006-09-21,5.04,,17.22,,,,2.88,0,0,0,0,0,0
